SMILES,1A2,2C9,2C19,2D6,3A4
c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,,,,0,
C[C@H](C(=O)O)[C@@H](N)C(=O)O,,,,0,0
C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@H](C(N)=O)[C@@H](C)O,,,,0,
C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,,,,0,
C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,,,,0,
C[C@H](COc1ccccc1)N[C@H](C)[C@@H](O)c1ccc(O)cc1,,,,0,
CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,,,,0,
C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)CC(=O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,,,,0,
C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,,,,0,
C=O,,,,0,
CC(=O)CCC(=O)O,,,,0,
CC(C)(C)c1ccc(CCC(O)COc2ccc(C(=O)O)cc2)cc1,,,,0,
CC(C)(C)NS(=O)(=O)c1ccc(-c2cnc3cccc(Nc4ccccn4)c3c2)cc1,,,,0,
CC(C)=CCC/C(C)=C/CO[P@@](=O)(O)OP(=O)(O)O,,,,0,
CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl,,,,0,
CCC1(c2cccc(NS(C)(=O)=O)c2)[C@H]2CN(CC3(O)Cc4ccccc4C3)C[C@H]21,,,,0,
Cc1c(Br)c(=O)oc2c(Br)c(O)ccc12,,,,0,
Cc1cc(C(=O)NNCc2ccccc2)no1,,,,0,
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1ccc2nc(N)ncc2c1,,,,0,
C=C1C=CC=C(C)[C@@H]1N,,,,0,
Cc1cccc(-c2nc(Nc3ccncc3)c3ccccc3n2)n1,,,,0,
Cc1cc(CCCOc2c(C)cc(-c3coc(C)n3)cc2C)on1,,,,0,
Cc1ncc(COP(=O)(O)O)c(CN[C@H](CCC(=O)O)C(=O)O)c1O,,,,0,
Cc1cc(CCCOc2c(Cl)cc(C3=NCCO3)cc2Cl)on1,,,,0,
CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,,,,0,
CCC1(CC)C(=O)NC(=O)N(C)C1=O,,,,0,
CCCC[C@H](N)P(=O)(O)O,,,,0,
CCCCC#Cc1ccc(C(=O)NNC(=S)NC)o1,,,,0,
CCCCCN,,,,0,
CCCCNS(=O)(=O)c1ccccc1,,,,0,
