SMILES,1A2,2C9,2C19,2D6,3A4
O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O,,,,,1.0
NCC(CC(=O)O)c1ccc(Cl)cc1,,,,,0.0
CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](N=C(O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,,,,,1.0
COc1ccc2c(C(F)(F)F)cc(=O)oc2c1,1.0,1.0,1.0,1.0,
Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,,,,,1.0
CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,,,,,0.0
C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,,,,,1.0
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,,0.0,,,
CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1,,,,1.0,
CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@@H]2O5,,0.0,,1.0,1.0
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,,,,,1.0
CCC(=O)C(=O)O,0.0,0.0,0.0,0.0,0.0
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,,0.0,0.0,0.0,0.0
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,,0.0,,0.0,1.0
Cc1cccc(O)c1O,,,,,0.0
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,0.0,0.0,,0.0,1.0
CCC(=O)N(c1ccccc1)C1CCN(CCc2cccs2)CC1,,,,,0.0
N#Cc1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,,,,,0.0
CCOc1ccc2nc3ccc(=O)cc-3oc2c1,1.0,1.0,,,
CN1CCN(c2ccccc2C/N=N\C(N)=S)CC1,0.0,0.0,,,0.0
CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C,,,,,1.0
