SMILES,2C19
CC(CCC(=O)O)C1CCC2C3C(OS(=O)(=O)O)CC4CC(O)CC[C@]4(C)C3CC(O)[C@]12C,0.0
Ic1cn[nH]c1,0.0
Oc1ccc(C2COc3cc(O)ccc3C2)cc1,0.0
CCCCCCCCCCCCOC(=O)CC,0.0
NC(Cc1cnc[nH]1)C(=O)NCC(=O)O,0.0
O=C(O)CC(=O)OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)C(O)C(O)C1O,0.0
C=C(CCC(C)C1CCC2C3=CC=C4CC(O)CC[C@]4(C)C3CC[C@@]21C)C(C)C,0.0
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,1.0
CN(C)CCO[C@]1(c2ccccc2)C[C@H]2CC[C@]1(C)C2(C)C,0.0
CC(C)=CCc1c2c(c3oc4c(c(=O)c3c1O)CC(=C(C)C)Oc1cc(O)c(O)cc1-4)C=CC(C)(C)O2,0.0
CO[C@@H]1[C@@H](C(=O)O)O[C@H](O)[C@H](O)[C@H]1O,0.0
C=C(C)C1CCC(C)(O)CC1,0.0
CCCCCCCCCCCCC/C=C/C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCCCCCCCCCC,0.0
Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,0.0
CCCCCCCCCCC(O)C1CCC(COCCCCCCCCCCCCCCCCC2=CC(C)OC2=O)O1,0.0
CCCCCCCCC1CC(C(=O)O)C(=O)O1,0.0
C=C1C[C@]23C[C@@]1(O)CCC2[C@]12OC(=O)[C@](C)(C=CC1O)C2C3C(=O)O,0.0
CC(C)CCC[C@@](C)(O)C1CCC2C3CC=C4CC(O)CC[C@@]4(C)C3CC[C@]21C,0.0
C=CCOC(=O)/C=C\C,0.0
CC(C)CCCC(C)C1CCC2C3CCC4=CC(=O)CC[C@@]4(C)C3CC[C@@]12C,0.0
O=C(O)C1=CN=C(C(=O)O)CS[C@H]1c1cn2c3c(sc2n1)CCC3,0.0
CN(C)CCNC(=O)c1cccc2cc3ccccc3nc12,0.0
CCCCC/C=C\C=C\C(O)CCCCCCCC(=O)O,0.0
COCC1OC(OC2C(COC)OC(OC)C(OC)C2OC)C(OC)C(OC)C1OC,0.0
CC/C=C\C#CC(O)c1ccc(/C=C\C(=O)OC)o1,0.0
CC(=O)OC(C/C=C(\C)C(=O)O)C(C)C1CC(OC(C)=O)[C@]2(C)C3=CCC4C(C)(C)C(OC(C)=O)CC[C@@]4(C)C3=CC[C@]12C,0.0
CC1=CC[C@H]2[C@@H](C1)C2(C)C,1.0
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,1.0
OCCc1ccccc1Nc1c(Cl)cccc1Cl,1.0
O=C1C=C2CN(C(C(=O)C3CC3)c3ccccc3F)CCC2S1,1.0
CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,0.0
O=c1ccn(C2CC(O)C(CO)O2)c(=O)[nH]1,0.0
NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,0.0
O=C(O)[C@@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,0.0
CN1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21,1.0
CCC(/C=C\C(C)C1CCC2C3C(=O)C=C4CC(O)CC[C@@]4(C)C3CC[C@@]12C)C(C)C,0.0
C=C(C)C1CC[C@]2(C)CCC[C@](C)(O)C2C1,0.0
CC1(C)CC[C@@]2(C(=O)OC3OC(CO)C(O)C(O)C3O)CC[C@@]3(C)C(=CCC4[C@@]5(C)CCC(OC6OC(C(=O)O)C7O[C@@](O)(C(=O)O)C(OCC(=O)O)OC7C6O)[C@](C)(CO)C5CC[C@]43C)C2C1,0.0
Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,0.0
CCC(CC)C(=O)Oc1ccccc1C(=O)OC,0.0
